,majority_vote,soft_vote
accuracy,0.9784366576819407,0.977538185085355
precision,1.0,1.0
recall,0.5813953488372093,0.563953488372093
f1,0.7352941176470589,0.7211895910780669
roc_auc,0.7906976744186047,0.9347063834161886
