N,Rule,Sensitivity,Specificity
2,1ooN,0.686046511627907,0.9934743711188295
2,Majority,0.686046511627907,0.9934743711188295
2,NooN,0.44961240310077516,1.0
3,1ooN,0.7383720930232558,0.9902115566782443
3,Majority,0.5813953488372093,1.0
3,NooN,0.38372093023255816,1.0
