,majority_vote,soft_vote
accuracy,0.9695388520659991,0.9698208997320548
precision,0.9808917197452229,0.9811320754716981
recall,0.4196185286103542,0.4250681198910082
f1,0.5877862595419847,0.5931558935361216
roc_auc,0.7095861828060694,0.8649856466000029
