N,Rule,Sensitivity,Specificity
2,1ooN,0.9310344827586207,0.9047619047619048
2,Majority,0.9310344827586207,0.9047619047619048
2,NooN,0.8850574712643677,0.9603174603174603
3,1ooN,0.9482758620689655,0.8869047619047619
3,Majority,0.896551724137931,0.9404761904761905
3,NooN,0.8793103448275862,0.9702380952380952
