,accuracy,precision,recall,f1,roc_auc
log_reg,0.9181286549707602,0.9195402298850575,0.9195402298850575,0.9195402298850575,0.976464148877942
random_forest,0.9093567251461988,0.9386503067484663,0.8793103448275862,0.9080118694362018,0.9740695128626163
xgboost,0.9327485380116959,0.9415204678362573,0.9252873563218391,0.9333333333333333,0.9836822660098522
