,majority_vote,soft_vote
accuracy,0.913326735939304,0.9192643905657265
precision,0.9276203482417207,0.9296584376056815
recall,0.896551724137931,0.9071110377825441
f1,0.9118214615320077,0.9182463465553236
roc_auc,0.9133212041959236,0.9770958432631804
