,majority_vote,soft_vote
accuracy,0.9181286549707602,0.9298245614035088
precision,0.9397590361445783,0.9411764705882353
recall,0.896551724137931,0.9195402298850575
f1,0.9176470588235294,0.9302325581395349
roc_auc,0.9185139573070608,0.9811165845648604
