N,Rule,Sensitivity,Specificity
2,1ooN,0.9332893361931475,0.8841439956031877
2,Majority,0.9332893361931475,0.8841439956031877
2,NooN,0.8437551559148656,0.9558120362737016
3,1ooN,0.9516581422207556,0.8611706512778236
3,Majority,0.896551724137931,0.930090684253916
3,NooN,0.8173568718033328,0.9686727122835944
