,accuracy,precision,recall,f1,roc_auc
log_reg,0.9158832261256804,0.9147605726509791,0.917175383600066,0.9159663865546218,0.9739386857414036
random_forest,0.892462477321458,0.9177937818373441,0.8620689655172413,0.8890590437297942,0.9592766342405386
xgboost,0.9044202539996701,0.9195480999657651,0.8863223890447121,0.9026295891791986,0.9704388864352835
