N,Rule,Sensitivity,Specificity
2,1ooN,0.46139872842870117,0.9961828276819352
2,Majority,0.46139872842870117,0.9961828276819352
2,NooN,0.15985467756584923,0.999851279000595
3,1ooN,0.4822888283378747,0.9944973230220107
3,Majority,0.4196185286103542,0.9995538370017847
3,NooN,0.02997275204359673,1.0
