,accuracy,precision,recall,f1,roc_auc
log_reg,0.9686927090678324,0.8961748633879781,0.44686648501362397,0.5963636363636363,0.8259850841347517
random_forest,0.9497955154421097,1.0,0.02997275204359673,0.0582010582010582,0.8659784707104731
xgboost,0.9688337329008603,0.8882978723404256,0.4550408719346049,0.6018018018018018,0.8465774718888944
